date,shop,product_id,title,brand,category,spec_ram,spec_storage,spec_color,price,in_stock,url
2026-05-23,GQ Mobiles,apple_iphone_16,Apple iPhone 16,Apple,Android,Standard,Standard,Standard,269900.0,True,https://gqmobiles.lk/product/apple-iphone-16
2026-05-23,GQ Mobiles,apple_iphone_17e_with_20w_usb_c_adapter,Apple iPhone 17e With Apple 20W USB C Adapter,Apple,Android,Standard,Standard,Standard,214900.0,True,https://gqmobiles.lk/product/apple-iphone-17e-with-apple-20w-usb-c-adapter
2026-05-23,GQ Mobiles,google_pixel_8a,Google Pixel 8A,Google,Android,Standard,Standard,Standard,129900.0,True,https://gqmobiles.lk/product/google-pixel-8a-5g
2026-05-23,GQ Mobiles,google_pixel_9_pro_xl,Google Pixel 9 Pro XL,Google,Android,Standard,Standard,Standard,289900.0,True,https://gqmobiles.lk/product/google-pixel-9-pro-xl-5g
2026-05-23,GQ Mobiles,other_infinix_smart_20,Infinix Smart 20,Other,Android,Standard,Standard,Standard,40900.0,True,https://gqmobiles.lk/product/infinix-smart-20
2026-05-23,GQ Mobiles,samsung_a36,Samsung A36,Samsung,Android,Standard,Standard,Standard,99900.0,True,https://gqmobiles.lk/product/samsung-a36-5g
2026-05-23,GQ Mobiles,samsung_s24,Samsung S24,Samsung,Android,Standard,Standard,Standard,199900.0,True,https://gqmobiles.lk/product/samsung-s24-5g
2026-05-23,GQ Mobiles,samsung_s25,Samsung S25,Samsung,Android,Standard,Standard,Standard,219900.0,True,https://gqmobiles.lk/product/samsung-s25-5g
2026-05-23,GQ Mobiles,samsung_s25_plus,Samsung S25 Plus,Samsung,Android,Standard,Standard,Standard,239900.0,True,https://gqmobiles.lk/product/samsung-s25-plus-5g
2026-05-23,GQ Mobiles,samsung_s25_ultra,Samsung S25 Ultra,Samsung,Android,Standard,Standard,Standard,349900.0,True,https://gqmobiles.lk/product/samsung-s25-ultra-5g
2026-05-23,GQ Mobiles,xiaomi_14t_pro,Xiaomi 14T Pro,Xiaomi,Android,Standard,Standard,Standard,179900.0,True,https://gqmobiles.lk/product/xiaomi-14t-pro-5g
2026-05-23,GQ Mobiles,xiaomi_15_ultra,Xiaomi 15 Ultra 5G,Xiaomi,Android,Standard,Standard,Standard,329900.0,True,https://gqmobiles.lk/product/xiaomi-15-ultra-5g
2026-05-23,Life Mobile,apple_iphone_17,Apple iPhone 17,Apple,Android,Standard,512 GB,Standard,0.0,True,https://lifemobile.lk/product-category/mobile-phones/apple/
2026-05-23,Life Mobile,apple_iphone_17,Apple iPhone 17,Apple,Android,Standard,256 GB,Standard,295000.0,True,https://lifemobile.lk/product-category/mobile-phones/apple/
2026-05-23,Life Mobile,apple_iphone_17_e_sim,Apple iPhone 17 – E-Sim,Apple,Android,Standard,256 GB,Standard,268000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,apple_iphone_17_pro,Apple iPhone 17 Pro,Apple,Android,Standard,1 TB,Standard,0.0,True,https://lifemobile.lk/product-category/mobile-phones/apple/
2026-05-23,Life Mobile,apple_iphone_17_pro,Apple iPhone 17 Pro,Apple,Android,Standard,512 GB,Standard,0.0,True,https://lifemobile.lk/product-category/mobile-phones/apple/
2026-05-23,Life Mobile,apple_iphone_17_pro_max,Apple iPhone 17 Pro Max,Apple,Android,Standard,512 GB,Standard,510000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,apple_iphone_17_pro_max,Apple iPhone 17 Pro Max,Apple,Android,Standard,256 GB,Standard,462000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,apple_iphone_air,Apple iPhone Air,Apple,Android,Standard,1 TB,Standard,0.0,True,https://lifemobile.lk/product-category/mobile-phones/apple/
2026-05-23,Life Mobile,google_pixel_10_pro,Google Pixel 10 Pro 5G,Google,Android,16 GB,256 GB,Standard,303000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,google_pixel_10_pro_xl,Google Pixel 10 Pro XL,Google,Android,16 GB,256 GB,Standard,329000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,google_pixel_10a,Google Pixel 10a,Google,Android,8 GB,128 GB,Standard,159500.0,True,https://lifemobile.lk/product-category/mobile-phones/google/
2026-05-23,Life Mobile,google_pixel_10a,Google Pixel 10a,Google,Android,8 GB,256 GB,Standard,167990.0,True,https://lifemobile.lk/product-category/mobile-phones/google/
2026-05-23,Life Mobile,google_pixel_9a,Google Pixel 9a 5G,Google,Android,8 GB,256 GB,Standard,153500.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,infinix_hot_60_pro,Infinix Hot 60 Pro 4G,Infinix,Android,8 GB,256 GB,Standard,61000.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,infinix_hot_60_pro_plus_with_xbuds_3_lite,Infinix Hot 60 Pro Plus 4G With Infinix Xbuds 3 Lite,Infinix,Android,8 GB,256 GB,Standard,73300.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,infinix_hot_60i_6,Infinix Hot 60i 6+,Infinix,Android,6 GB,128 GB,Standard,45990.0,True,https://lifemobile.lk/product-category/mobile-phones/infinix/
2026-05-23,Life Mobile,infinix_hot_60i_8,Infinix Hot 60i 8+,Infinix,Android,8 GB,256 GB,Standard,47900.0,True,https://lifemobile.lk/product-category/mobile-phones/infinix/
2026-05-23,Life Mobile,infinix_note_60,Infinix Note 60,Infinix,Android,8 GB,256 GB,Standard,122100.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,infinix_smart_10_plus,Infinix Smart 10 Plus,Infinix,Android,4 GB,128 GB,Standard,35990.0,True,https://lifemobile.lk/product-category/mobile-phones/
2026-05-23,Life Mobile,infinix_smart_20,Infinix Smart 20,Infinix,Android,4 GB,64 GB,Standard,40990.0,True,https://lifemobile.lk/product-category/mobile-phones/infinix/
2026-05-23,Life Mobile,motorola_moto_g06,Motorola Moto G06,Motorola,Android,4 GB,64 GB,Standard,45999.0,True,https://lifemobile.lk/product-category/mobile-phones/
